WEEK,MONTH,YEAR,STORE,CITY,ZIP,BRAND,MOVE,PRICE,QTY,REVENUE,PROFIT,CASE,COSMETIC,HABA,PHARMACY,INCOME,HSIZEAVG,HSIZE1,HSIZE2,HSIZE34,HHLARGE,SINGLE,RETIRED,UNEMP,WORKWOM,WRKCH5,WRKCH17,NWRKCH5,NWRKCH17,WRKCH,NWRKCH,WRKWNCH,move and profit score
173,1,1993,53,CHICAGO,60662.0,OTHERS,3,6.17,3,6.17,126.09,30,0.0,30510.45,0.0,31.800012,7.6641804,0.8381374800000001,0.99113085,0.82967145,0.341060265,0.69981201,0.68295279,0.4527864,0.9379071,0.13124676,0.30451323,0.145253331,0.12242781,0.43575999,0.26768112,0.82601265,129.09
173,1,1993,54,NAPERVILLE,60540.0,OTHERS,13,20.26,7,36.64,135.15,48,0.0,85450.68,0.0,76.376286,18.0515965,1.87067972,2.1311395,2.27352419,0.724656835,2.09597899,0.563730825,1.22131905,3.05703132,0.363286882,0.9306423,0.834214325,0.696299835,1.29392921,1.53051423,2.16233255,148.15
173,1,1993,54,NAPERVILLE,60540.0,RAVE AERO,68,22.0,22,68.0,176.8,150,0.0,268559.28,0.0,240.039756,56.733589,5.87927912,6.6978670000000005,7.14536174,2.27749291,6.587362539999999,1.77172545,3.8384313,9.60781272,1.141758772,2.9248758,2.62181645,2.18837091,4.06663466,4.81018758,6.7959023,244.8
173,1,1993,56,COUNTRYSIDE,60525.0,OTHERS,6,16.85,4,30.23,133.97,30,0.0,42533.2,0.0,43.3273,10.460088,0.9120916,1.38767268,1.27652408,0.42371168,0.91363676,0.61508036,0.68858672,1.4486728,0.179609416,0.46993696,0.34384132,0.3284638,0.6495464,0.67230512,1.08065496,139.97
173,1,1993,59,CRYSTAL LAKE,60014.0,OTHERS,13,11.68,5,43.61,76.25,42,0.0,63401.75,0.0,53.5752,14.775666,0.77114815,1.4854339,2.04003735,0.7033805499999999,1.06682175,0.5557636,0.9089207,1.9534805,0.3910654,0.8934611,0.5207159,0.3783821699999999,1.2845265,0.8990980499999999,0.96573635,89.25
173,1,1993,59,CRYSTAL LAKE,60014.0,RAVE AERO,22,6.0,6,22.0,48.2,42,0.0,76082.1,0.0,64.29024,17.7307992,0.92537778,1.78252068,2.44804482,0.8440566599999999,1.2801861,0.66691632,1.09070484,2.3441766,0.46927848,1.07215332,0.62485908,0.454058604,1.5414318,1.07891766,1.15888362,70.2
173,1,1993,62,NORTHFIELD,60093.0,OTHERS,4,4.58,2,10.56,76.91,18,0.0,29106.64,0.0,22.472393,5.3922854,0.36529958,0.7296844,0.69705748,0.20795854,0.41283632,0.3544658,0.33060894,0.64553034,0.063509292,0.26353642,0.1422174,0.2209255,0.32704574,0.3631429,0.48014972,80.91
173,1,1993,64,VILLA PARK,60181.0,OTHERS,10,12.62,6,23.24,80.6,48,0.0,55689.240000000005,0.0,63.634908,17.1081078,1.12776408,1.81449636,2.24570022,0.8120393399999999,1.5916373999999998,0.687279984,0.9966702,2.34776724,0.38864628,0.90720528,0.56659392,0.4224891,1.2958515,0.98908302,1.51611738,90.6
173,1,1993,64,VILLA PARK,60181.0,RAVE AERO,55,9.0,9,55.0,72.3,66,0.0,83533.86000000002,0.0,95.452362,25.6621617,1.69164612,2.72174454,3.36855033,1.21805901,2.3874561,1.030919976,1.4950053,3.5216508600000003,0.5829694200000001,1.36080792,0.84989088,0.63373365,1.94377725,1.48362453,2.27417607,127.3
173,1,1993,67,OAKBROOK TERRACE,60521.0,OTHERS,1,6.69,1,6.69,30.64,6,0.0,12697.13,0.0,10.79696,2.5559676,0.2549435,0.3368644,0.3063206,0.10187147,0.25288412,0.15285516,0.1559018,0.38515761,0.041402824,0.1250203,0.06169833,0.07046598,0.16642313,0.13216431,0.28834748,31.64
173,1,1993,68,CHICAGO,60625.0,OTHERS,6,11.46,4,14.64,167.88,42,0.0,50004.8,0.0,40.753464,10.062644,1.26420104,1.12546456,1.17642892,0.43390552,1.36020912,0.72498692,0.79238696,1.32215856,0.205128208,0.38039598,0.24148004,0.162284972,0.5855242,0.403765024,1.1282052,173.88
173,1,1993,70,JOLIET,60435.0,OTHERS,6,7.760000000000001,4,10.94,170.12,42,0.0,68926.64,0.0,41.649408,10.4809064,1.03124428,1.22601868,1.3005664,0.44217064,1.05903148,0.71639896,0.78918232,1.3109176,0.22637126,0.47398556,0.360468,0.26387852,0.70035684,0.62434656,0.8894702,176.12
173,1,1993,71,NORTH RIVERSIDE,60546.0,OTHERS,18,32.01,12,50.56999999999999,207.24,96,22121.4,264913.92,69260.63639999999,124.858068,27.685008000000003,4.06194408,3.88665564,3.15123552,0.90016476,3.20473584,2.78988324,2.15541312,3.637221,0.408137712,1.0140844800000002,0.62973396,0.55586856,1.42222224,1.18560252,3.2648334,225.24
173,1,1993,71,NORTH RIVERSIDE,60546.0,RAVE AERO,81,20.0,20,81.0,160.9,138,36869.0,441523.2,115434.394,208.09678,46.14168,6.769906799999999,6.4777594,5.2520592,1.5002746,5.3412264,4.6498054,3.5923552,6.062035,0.6802295199999999,1.6901408,1.0495566,0.9264476,2.3703704,1.9760042,5.441389,241.9
173,1,1993,72,LINCOLNWOOD,60646.0,OTHERS,5,10.16,3,13.63,103.33,24,0.0,29202.21,0.0,32.1365805,7.8567804,0.6357867899999999,1.1056926,0.95395212,0.30456852,0.6789006,0.58388061,0.43906185,0.99339294,0.10148976,0.34543761,0.1508379899999999,0.177839856,0.44692737,0.32867784,0.86312082,108.33
173,1,1993,73,CHICAGO,60629.0,OTHERS,10,12.86,4,30.300000000000004,154.06,36,0.0,87476.84,24038.6,42.45986,11.036434,0.915988,1.22588944,1.3167596,0.54136308,1.05648504,0.87314284,0.6636522,1.1709928,0.152887256,0.40036664,0.26214484,0.277543544,0.55325388,0.53968836,1.0309502,164.06
173,1,1993,74,NORRIDGE,60634.0,OTHERS,10,14.74,5,26.07,180.24,42,2849.85015,81016.25,0.0,52.400085,12.452917,1.3274966,1.7046727000000002,1.5168482,0.450982375,1.2818296500000002,1.1514044,0.8277222,1.4889829,0.1210875999999999,0.45375065,0.27583493,0.2469837299999999,0.57483825,0.522818675,1.40110835,190.24
173,1,1993,75,CHICAGO,60640.0,OTHERS,25,21.33,9,55.49,115.74,84,0.0,204884.73,116712.63,88.80374699999999,17.5397022,4.70595555,2.29652613,1.4218362,0.57568239,3.97098576,2.07753876,2.04697611,2.84024934,0.511700976,0.497565567,0.50463324,0.204963093,1.00926648,0.70959636,2.3266926000000003,140.74
173,1,1993,75,CHICAGO,60640.0,RAVE AERO,48,15.0,15,48.0,120.8,96,0.0,341474.55000000005,194521.05,148.00624499999998,29.232837,7.84325925,3.82754355,2.369727,0.95947065,6.6183096,3.4625646000000003,3.41162685,4.733748899999999,0.85283496,0.829275945,0.8410554,0.341605155,1.6821108,1.1826606000000002,3.877821,168.8
